Country,ISO,Structural Vulnerability Index,Economic vulnerability,Exposure to fluctuations in international trade and financial flows,Merchandise and services export concentration,Exposure to fluctuations export earnings,Instability of export revenue ,Exposure to fluctuations in strategic import prices ,Food and fuel import dependency,Environmental vulnerability, Exposure to natural hazards ,Victims of natural hazards,Damages related to natural hazard,Exposure to extreme weather events,Rainfall shocks,Temperature shocks,Exposure to ecosystem pressure,Drylands,Low elevated coastal zones ,Social vulnerability,Exposure to global health shocks,Victims of epidemics,Spillover effects of regional violence,Regional Conflict-related death (excluding own country's data),Regional Homicide (excluding own country's data),Exposure to entrance of international forced displacement of people ,Refugees from abroad
Syrian Arab Republic,SYR,59.1,57.61,47.78,47.78,75.41,75.41,44.56,44.56,53.46,3.95,5.59,0.00,59.65,84.36,0.00,70.71,100.00,0.05,65.60,0.00,0.00,73.36,100.00,27.64,86.76,86.76
Chad,TCD,73.8,81.96,99.26,99.26,100.00,100.00,17.30,17.30,65.13,30.32,42.87,0.85,85.70,83.26,88.08,66.80,94.47,0.00,73.47,17.17,17.17,76.81,100.00,42.43,100.00,100.00
Togo,TGO,34.2,38.95,12.50,12.50,24.65,24.65,61.53,61.53,36.55,2.70,3.81,0.00,62.89,51.29,72.66,6.79,9.57,0.77,25.57,7.15,7.15,20.65,13.99,25.63,38.53,38.53
Thailand,THA,43.9,35.40,29.66,29.66,17.78,17.78,50.65,50.65,64.52,81.17,73.77,87.96,76.65,64.37,87.21,5.00,0.00,7.07,18.94,7.64,7.64,17.18,14.36,19.59,26.88,26.88
Tajikistan,TJK,48.6,49.07,64.03,64.03,44.82,44.82,33.39,33.39,54.16,74.05,31.09,100.00,51.82,73.28,0.00,25.14,35.56,0.00,41.87,4.22,4.22,72.18,100.00,20.46,5.55,5.55
Turkmenistan,TKM,51.6,56.79,95.72,95.72,19.14,19.14,12.16,12.16,54.90,0.00,0.00,0.00,63.58,89.91,0.00,70.71,100.00,0.00,41.96,0.00,0.00,72.68,100.00,23.74,0.09,0.09
Timor-Leste,TLS,43.3,67.46,48.11,48.11,100.00,100.00,36.57,36.57,31.03,7.38,7.92,6.80,52.96,39.18,63.84,5.44,7.24,2.59,10.31,17.64,17.64,2.77,0.38,3.90,0.00,0.00
Tonga,TON,49.6,59.66,70.46,70.46,41.27,41.27,63.34,63.34,61.06,92.91,85.24,100.00,46.99,27.24,60.62,18.55,0.00,26.23,9.60,0.00,0.00,16.64,0.00,23.53,0.00,0.00
Trinidad and Tobago,TTO,47.7,53.18,66.61,66.61,47.59,47.59,42.21,42.21,48.11,5.09,7.19,0.13,82.93,92.78,71.74,6.35,0.00,8.98,41.19,0.00,0.00,70.71,0.00,100.00,9.42,9.42
Tunisia,TUN,42.9,30.40,31.58,31.58,12.12,12.12,40.36,40.36,53.06,0.55,0.63,0.45,61.55,85.87,14.30,68.24,96.42,4.06,42.26,0.00,0.00,73.17,100.00,26.59,1.76,1.76
Turkey,TUR,49.8,17.64,23.09,23.09,17.35,17.35,9.95,9.95,45.02,2.89,0.87,3.99,56.35,79.69,0.00,53.81,76.09,0.75,71.34,0.12,0.12,72.58,100.00,23.16,100.00,100.00
Tuvalu,TUV,48.3,66.03,98.57,98.57,50.18,50.18,29.09,29.09,50.75,41.03,58.03,0.00,56.18,0.00,79.45,53.74,0.00,76.00,7.21,0.00,0.00,12.49,0.00,17.66,0.00,0.00
United Republic of Tanzania,TZA,35.8,19.76,28.16,28.16,14.95,14.95,12.44,12.44,42.57,10.97,14.52,5.46,59.27,65.73,52.01,42.46,59.53,7.87,40.52,4.31,4.31,25.13,24.36,25.87,65.39,65.39
Uganda,UGA,52.4,35.21,41.04,41.04,41.43,41.43,17.87,17.87,41.41,6.66,9.42,0.13,70.70,63.53,77.21,10.07,14.25,0.00,72.64,20.65,20.65,73.51,100.00,28.42,100.00,100.00
Uruguay,URY,30.7,29.70,46.73,46.73,17.24,17.24,12.86,12.86,31.87,5.35,4.16,6.32,54.93,77.68,0.00,0.99,0.00,1.40,30.60,0.00,0.00,52.97,0.00,74.92,1.72,1.72
Uzbekistan,UZB,42.5,27.96,25.46,25.46,40.38,40.38,8.19,8.19,53.56,0.10,0.14,0.00,62.47,88.34,0.00,68.58,96.99,0.00,42.07,0.00,0.00,72.87,100.00,24.91,0.04,0.04
Saint Vincent and the Grenadines,VCT,65.1,61.98,75.46,75.46,58.58,58.58,48.99,48.99,62.30,73.90,30.39,100.00,78.58,87.16,68.94,2.84,0.00,4.02,70.71,100.00,100.00,70.71,0.00,100.00,0.00,0.00
Venezuela (Bolivarian Republic of),VEN,49.2,49.69,75.02,75.02,42.18,42.18,0.21,0.21,32.29,0.75,0.67,0.82,55.37,46.54,62.98,7.88,10.36,4.11,61.15,0.00,0.00,67.99,0.00,96.15,81.21,81.21
Viet Nam,VNM,41.2,50.04,64.98,64.98,7.06,7.06,56.93,56.93,49.73,57.75,26.62,77.21,60.98,51.78,68.96,19.15,0.00,27.08,11.15,11.33,11.33,15.63,1.66,22.05,0.00,0.00
Vanuatu,VUT,51.2,62.08,79.96,79.96,53.91,53.91,47.57,47.57,62.72,100.00,100.00,100.00,42.39,0.00,59.95,2.14,0.00,3.03,9.29,0.00,0.00,16.09,0.00,22.76,0.00,0.00
Samoa,WSM,57.2,53.71,77.75,77.75,9.38,9.38,50.20,50.20,59.47,70.86,6.47,100.00,74.72,65.58,82.85,2.39,0.00,3.38,58.19,100.00,100.00,12.56,0.00,17.76,0.33,0.33
Yemen,YEM,73.9,74.02,66.77,66.77,100.00,100.00,44.50,44.50,59.65,7.42,1.23,10.42,75.05,85.52,62.87,70.62,99.88,0.63,85.65,100.00,100.00,44.82,63.31,3.00,100.00,100.00
South Africa,ZAF,40.4,20.30,22.81,22.81,15.76,15.76,21.61,21.61,54.06,19.09,25.72,8.21,65.16,79.16,47.16,64.49,91.20,0.25,39.45,7.37,7.37,62.36,4.17,88.09,26.95,26.95
Zambia,ZMB,41.6,51.58,70.67,70.67,46.18,46.18,29.23,29.23,38.61,21.83,30.88,0.00,55.02,57.42,52.51,31.11,44.00,0.00,32.07,17.75,17.75,34.83,16.65,46.35,39.48,39.48
Zimbabwe,ZWE,60.0,65.66,48.24,48.24,100.00,100.00,24.66,24.66,64.28,76.12,100.00,39.85,47.37,63.10,22.49,66.00,93.34,0.00,48.70,54.86,54.86,63.47,4.68,89.64,8.80,8.80
